linha_produto_x,principio_ativo,n_skus,marcas,cod_item_fuzz_token_set,desc_fuzz_token_set,fuzz_token_set,cod_item_fuzz_token_sort,desc_fuzz_token_sort,fuzz_token_sort,cod_item_fuzz_wratio,desc_fuzz_wratio,fuzz_wratio,cod_item_tfidf,desc_tfidf,tfidf,cod_item_spacy,desc_spacy,spacy,score_mean,score_max,score_std,best_method,best_cod_item,best_desc_global,linha_key,confianca,linha_produto_y,custo_medio,custo_min,custo_max,cod_item_fuzzy,vl_medio,abc,desc_global_fuzzy,cod_item,prev_mes_rs,incerteza,prioridade,gap_custo_pct,ja_rodou_llm
LAMINA / LAMINULA DE VIDRO,PRODUTOS PARA SAUDE,3,['CRAL'],87687,seringa de vidro 10ml,0.62,87195,sorbitol + laurilsulfato de sodio (minilax),0.54,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,87687,seringa de vidro 10ml,0.3654608071807005,93006,escova de mamadeira,0.8528500199317932,0.6476621654224988,0.86,0.211650274913611,fuzz_wratio,86959,mesilato de osimertinibe 80 mg com rev tagrisso,LAMINA / LAMINULA DE VIDRO,revisar,LAMINA / LAMINULA DE VIDRO,0.06228,0.0242,0.085,86959,1038.3,A,mesilato de osimertinibe 80 mg com rev tagrisso,86959,492154.19999999995,0.38,187019.0,-100.0,False
DESOGESTREL(75MCG COMPRIMIDO),DESOGESTREL,2,['FQM'],87180,sertralina 25 mg com rev,0.62,108057,exemestano 25mg com rev proexty,0.58,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,86917,levonorgestrel 52 mg (20mcg/24h) - diu mirena ,0.2536908411217861,86669,ferrocarbonila + associacao com (combiron folico),0.7938641905784607,0.6215110063400494,0.86,0.2364316713887806,fuzz_wratio,86959,mesilato de osimertinibe 80 mg com rev tagrisso,DESOGESTREL(75MCG COMPRIMIDO),revisar,DESOGESTREL(75MCG COMPRIMIDO),0.245283,0.222557,0.268009,86959,1038.3,A,mesilato de osimertinibe 80 mg com rev tagrisso,86959,492154.19999999995,0.38,187019.0,-100.0,False
CLORIDRATO DE DILTIAZEM SOLIDO (60MG COMPRIMIDO),CLORIDRATO DE DILTIAZEM,2,"['EMS', 'TEUTO']",86651,"doxiciclina, cloridrato de 100 mg com rev",0.68,86651,"doxiciclina, cloridrato de 100 mg com rev",0.68,92737,indicador de limpeza atp,0.86,86633,"clomipramina, cloridrato 25 mg com rev",0.2291073401081717,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.9316361546516418,0.6761486989519627,0.9316361546516418,0.2733819592042331,spacy,86959,mesilato de osimertinibe 80 mg com rev tagrisso,CLORIDRATO DE DILTIAZEM SOLIDO (60MG COMPRIMIDO),revisar,CLORIDRATO DE DILTIAZEM SOLIDO (60MG COMPRIMIDO),0.18035,0.1787,0.182,86959,1038.3,A,mesilato de osimertinibe 80 mg com rev tagrisso,86959,492154.19999999995,0.32,157489.0,-100.0,False
QUARTENARIO AMONIO PLUS 5 LITROS,QUATERNARIO DE AMONIO E CLORIDRATO DE POLIHEXAMETILENO BIGUANIDA,1,['RIOQUIMICA'],83880,sabonete liquido perolado set soap 5 litros,0.51,83880,sabonete liquido perolado set soap 5 litros,0.51,86604,"golimumabe 50 mg sol inj ser preenc 0,5 ml simponi",0.86,83880,sabonete liquido perolado set soap 5 litros,0.1784705128598302,87421,ethibond 5 ag 4.7 1/2 tap (xymb46g),0.8505104184150696,0.5817961862549799,0.86,0.2839831351017304,fuzz_wratio,86604,"golimumabe 50 mg sol inj ser preenc 0,5 ml simponi",QUARTENARIO AMONIO PLUS 5 LITROS,revisar,QUARTENARIO AMONIO PLUS 5 LITROS,511.0875,511.0875,511.0875,86604,4961.4,A,"golimumabe 50 mg sol inj ser preenc 0,5 ml simponi",86604,314552.75999999995,0.49,154131.0,-89.7,False
TESTE DE TOLERÂ¿NCIA Â¿ GLICOSE,TESTE DE TOLERÃNCIA Ã GLICOSE,3,['NEWPROV'],106529,teste de urease,0.7,107191,kit drenagem torácica nº 32,0.54,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.330551047377353,106529,teste de urease,0.7291279435157776,0.6319357981786261,0.86,0.2033330321415618,fuzz_wratio,86959,mesilato de osimertinibe 80 mg com rev tagrisso,TESTE DE TOLERÂ¿NCIA Â¿ GLICOSE,revisar,TESTE DE TOLERÂ¿NCIA Â¿ GLICOSE,10.674877666666667,3.1203,25.543333,86959,1038.3,A,mesilato de osimertinibe 80 mg com rev tagrisso,86959,492154.19999999995,0.3,147646.0,-99.0,False
"ORTOFTALALDEIDO 0,55% 1L",ORTOFTALALDEÃDO,1,['RIOQUIMICA'],84212,"clorexidina alcoolica 0,5% 100ml",0.56,84212,"clorexidina alcoolica 0,5% 100ml",0.56,86604,"golimumabe 50 mg sol inj ser preenc 0,5 ml simponi",0.86,84100,"desinfetante glutaraldeido a 2%, tamponado a ph 6",0.2368838878333323,112391,"capa protetora descartavel transparente esteril 1,20 x 0,80",0.8228514790534973,0.607947073377366,0.86,0.250998163715913,fuzz_wratio,86604,"golimumabe 50 mg sol inj ser preenc 0,5 ml simponi","ORTOFTALALDEIDO 0,55% 1L",revisar,"ORTOFTALALDEIDO 0,55% 1L",48.785625,48.785625,48.785625,86604,4961.4,A,"golimumabe 50 mg sol inj ser preenc 0,5 ml simponi",86604,314552.75999999995,0.44,138403.0,-99.0,False
PLACA DE PETRI,PRODUTOS PARA SAUDE,1,['CRAL'],83841,placa de bisturi universal ref:9160f,0.73,103251,saco de lixo preto 40l,0.5,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,83840,placa de bisturi infantil ref: gk084,0.2782036984414131,93006,escova de mamadeira,0.7750404477119446,0.6286488292306716,0.86,0.2369537090607266,fuzz_wratio,86959,mesilato de osimertinibe 80 mg com rev tagrisso,PLACA DE PETRI,revisar,PLACA DE PETRI,0.31119,0.31119,0.31119,86959,1038.3,A,mesilato de osimertinibe 80 mg com rev tagrisso,86959,492154.19999999995,0.27,132882.0,-100.0,False
"ACIDO PERACETICO 0,2% PRONTO USO 5L",ACIDO PERACETICO,1,['RIOQUIMICA'],83750,lapis p/ retroprojetor azul 2.0mm,0.58,83750,lapis p/ retroprojetor azul 2.0mm,0.58,95507,"escetamina, cloridrato 28mg/0,2ml spray nasal spravato",0.86,86426,acido folico 5 mg com,0.2471624864016669,87936,"sterifix 0,2 microns filtro para infusao",0.8421328067779541,0.6218590586359242,0.86,0.2495663813989076,fuzz_wratio,95507,"escetamina, cloridrato 28mg/0,2ml spray nasal spravato","ACIDO PERACETICO 0,2% PRONTO USO 5L",revisar,"ACIDO PERACETICO 0,2% PRONTO USO 5L",124.9,124.9,124.9,95507,2108.8,A,"escetamina, cloridrato 28mg/0,2ml spray nasal spravato",95507,240403.2,0.42,100969.0,-94.1,False
"CLORIDRATO DE PALONOSETRONA INJETAVEL (0,05MG/ML)",CLORIDRATO DE PALONOSETRONA,1,['ACCORD'],111420,cloridrato de metformina+dapagliflozina (1000mg + 5mg),0.64,111420,cloridrato de metformina+dapagliflozina (1000mg + 5mg),0.6,110403,"skyrizi 150 mg/ml sol inj carp plas trans x 2,4 ml + disp autoinj - risanquizumabe &#x2013 carp",0.86,87066,ondansetrona 2 mg/ml sol inj 4 ml amp,0.2442949155614156,95507,"escetamina, cloridrato 28mg/0,2ml spray nasal spravato",0.9316192269325256,0.6551828284987883,0.9316192269325256,0.269477130737078,spacy,95507,"escetamina, cloridrato 28mg/0,2ml spray nasal spravato","CLORIDRATO DE PALONOSETRONA INJETAVEL (0,05MG/ML)",revisar,"CLORIDRATO DE PALONOSETRONA INJETAVEL (0,05MG/ML)",230.0,230.0,230.0,95507,2108.8,A,"escetamina, cloridrato 28mg/0,2ml spray nasal spravato",95507,240403.2,0.36,86545.0,-89.1,False
PIPETA,PRODUTOS PARA SAUDE,1,['CRAL'],87805,tipoia velpeau g,0.45,87805,tipoia velpeau g,0.45,106981,"ofatumumabe 20 mg/0,4 ml can preen kesimpta",0.65,86838,piperacilina + tazobactam 4 g + 500 mg po liof inj fa,0.1908208334619262,83878,sabonete liquido neutro 1000ml espuma extra suave,0.6432544589042664,0.4768150584732386,0.65,0.1877004857806282,fuzz_wratio,106981,"ofatumumabe 20 mg/0,4 ml can preen kesimpta",PIPETA,revisar,PIPETA,0.76482,0.76482,0.76482,106981,12012.0,A,"ofatumumabe 20 mg/0,4 ml can preen kesimpta",106981,141741.6,0.55,77958.0,-100.0,False
BENZODIAZEPÂ¿NICOS SOLIDO (CP/CAP/PO)ORAL,ALPRAZOLAM,1,['EMS'],86774,esomeprazol sodico 40 mg po liof inj fa,0.49,86774,esomeprazol sodico 40 mg po liof inj fa,0.49,86318,ceftazidima + avibactam 2000 mg + 500 mg po liof inj fa (torgena),0.86,86707,diazepam 5 mg com,0.2837748490521895,86943,magnesio + vitamina b3 cap ,0.5748351812362671,0.5397220060576913,0.86,0.2087249574361149,fuzz_wratio,86318,ceftazidima + avibactam 2000 mg + 500 mg po liof inj fa (torgena),BENZODIAZEPÂ¿NICOS SOLIDO (CP/CAP/PO)ORAL,revisar,BENZODIAZEPÂ¿NICOS SOLIDO (CP/CAP/PO)ORAL,0.087667,0.087667,0.087667,86318,720.78,A,ceftazidima + avibactam 2000 mg + 500 mg po liof inj fa (torgena),86318,105305.958,0.51,53706.0,-100.0,False
"ZINGIBER OFFICINALE ROSCOE (160MG CP)
",ZINGIBER OFFICINALE ROSCOE,1,['FQM'],107224,"imatinibe, mesilato 100mg com rev genérico",0.5,107224,"imatinibe, mesilato 100mg com rev genérico",0.5,86502,baclofeno 10 mg com,0.58,84942,fiber mais,0.1050653001617104,107410,ibrutinibe 560mg comp rev imbruvica,0.8704439997673035,0.5111018599858028,0.8704439997673035,0.2733980237786275,spacy,107410,ibrutinibe 560mg comp rev imbruvica,ZINGIBER OFFICINALE ROSCOE (160MG CP),revisar,"ZINGIBER OFFICINALE ROSCOE (160MG CP)
",0.509503,0.509503,0.509503,107410,1818.4,A,ibrutinibe 560mg comp rev imbruvica,107410,103648.8,0.5,51824.0,-100.0,False
PROPIONATO DE FLUTICASONA+XINAFOATO DE SALMETEROL  (250+25MCG SUS INAL),PROPIONATO DE FLUTICASONA+XINAFOATO DE SALMETEROL,1,['GSK'],86503,"beclometasona, dipropionato 0,4 mg/ml sus nas flac 2 ml",0.6,86818,"fluticasona, furoato 27,5 mcg/dose sus spr nas fr 120 doses",0.59,98005,reviscon mono 48mg ah (2.0%) em 2.4ml de solução,0.86,86818,"fluticasona, furoato 27,5 mcg/dose sus spr nas fr 120 doses",0.3223273109209988,108872,fixador de canula de traqueostomia adulto,0.8591101765632629,0.6462874974968523,0.86,0.2242919658260207,fuzz_wratio,98005,reviscon mono 48mg ah (2.0%) em 2.4ml de solução,PROPIONATO DE FLUTICASONA+XINAFOATO DE SALMETEROL  (250+25MCG SUS INAL),revisar,PROPIONATO DE FLUTICASONA+XINAFOATO DE SALMETEROL  (250+25MCG SUS INAL),195.5174,195.5174,195.5174,98005,799.86,A,reviscon mono 48mg ah (2.0%) em 2.4ml de solução,98005,128297.54400000001,0.4,51319.0,-75.6,False
"CLORETO DE SODIO (0,9% 15 SACHES 1,08 GRAMAS + FRASCO APLICADOR 120ML)",CLORETO DE SODIO,1,['FQM'],83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado",0.65,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado",0.59,106981,"ofatumumabe 20 mg/0,4 ml can preen kesimpta",0.86,86649,"cloreto de sodio 0,9% (9 mg/ml) sol inj iv amp 10 ml",0.3581632173919932,87500,"compressa de gaze 7,5 x 7,5 11 fios esteril (pct c/ 10 und ) ",0.8530327677726746,0.6622391970329335,0.86,0.2081718177085763,fuzz_wratio,106981,"ofatumumabe 20 mg/0,4 ml can preen kesimpta","CLORETO DE SODIO (0,9% 15 SACHES 1,08 GRAMAS + FRASCO APLICADOR 120ML)",revisar,"CLORETO DE SODIO (0,9% 15 SACHES 1,08 GRAMAS + FRASCO APLICADOR 120ML)",32.106,32.106,32.106,106981,12012.0,A,"ofatumumabe 20 mg/0,4 ml can preen kesimpta",106981,141741.6,0.35,49610.0,-99.7,False
EQUIPO MICRO INJ LATERAL C/BURETA 150ML,PRODUTOS PARA SAUDE,1,['DESCARPACK'],86323,cerne - 12 polivitaminico inj fa 5ml,0.6,87668,equipo parenteral bic 441702pl,0.58,86318,ceftazidima + avibactam 2000 mg + 500 mg po liof inj fa (torgena),0.86,87924,equipo camara graduada microgotas com bureta 150 ml referencia 4717g (item 361728),0.3381927467196287,87804,mascara descartavel tripla c/ clips c/ elastico,0.8053759336471558,0.6367137360733569,0.86,0.2073540570553979,fuzz_wratio,86318,ceftazidima + avibactam 2000 mg + 500 mg po liof inj fa (torgena),EQUIPO MICRO INJ LATERAL C/BURETA 150ML,revisar,EQUIPO MICRO INJ LATERAL C/BURETA 150ML,2.9064,2.9064,2.9064,86318,720.78,A,ceftazidima + avibactam 2000 mg + 500 mg po liof inj fa (torgena),86318,105305.958,0.4,42122.0,-99.6,False
CITARABINA (20MG/ML SOL INJ IV/SC FA 5 ML),CITARABINA,1,['BLAU'],86547,bupivacaina 5 mg/ml sem vaso sol inj fa 20 ml,0.71,86547,bupivacaina 5 mg/ml sem vaso sol inj fa 20 ml,0.73,110403,"skyrizi 150 mg/ml sol inj carp plas trans x 2,4 ml + disp autoinj - risanquizumabe &#x2013 carp",0.86,106817,capecitabina 500 mg com rev,0.2175317245519594,87047,ocrelizumabe 30 mg/ml sol inj iv fa 10 ml ocrevus,0.9610278010368348,0.6957119051177588,0.9610278010368348,0.2861027835146559,spacy,87047,ocrelizumabe 30 mg/ml sol inj iv fa 10 ml ocrevus,CITARABINA (20MG/ML SOL INJ IV/SC FA 5 ML),revisar,CITARABINA (20MG/ML SOL INJ IV/SC FA 5 ML),11.0,11.0,11.0,87047,39008.0,A,ocrelizumabe 30 mg/ml sol inj iv fa 10 ml ocrevus,87047,144329.6,0.29,41856.0,-100.0,False
"TIOPENTAL SODICO (0,5G PO INJ IV B1 VP )",TIOPENTAL SODICO,1,['CRISTALIA'],86761,ertapenem sodico 1 g po liof inj fa,0.61,87201,sugamadex sodico 100 mg/ml sol inj iv fa 2 ml,0.54,86318,ceftazidima + avibactam 2000 mg + 500 mg po liof inj fa (torgena),0.86,86761,ertapenem sodico 1 g po liof inj fa,0.2143424422901415,86319,"ceftolozana 1 g + tazobactam 0,5 g po liof sol inj fa",0.8473748564720154,0.6143434597524313,0.86,0.2646683761072216,fuzz_wratio,86318,ceftazidima + avibactam 2000 mg + 500 mg po liof inj fa (torgena),"TIOPENTAL SODICO (0,5G PO INJ IV B1 VP )",revisar,"TIOPENTAL SODICO (0,5G PO INJ IV B1 VP )",20.22,20.22,20.22,86318,720.78,A,ceftazidima + avibactam 2000 mg + 500 mg po liof inj fa (torgena),86318,105305.958,0.39,41069.0,-97.2,False
IODOPOVIDONA SOLUCAO COM TENSOATIVOS 1 LITRO ,IODOPOVIDONA,1,['VIC PHARMA'],87193,solucao oftalmica optive 15 ml,0.57,92955,"desvenlafaxina, succinato 100 mg com rev lib prol",0.52,87396,axitinibe 5 mg com rev inlyta,0.86,84662,evolucao diaria de curativos 50x1 frente e verso,0.2210902659116826,84107,hipoclorito de sodio 1% 5l,0.8317773938179016,0.6005735319459168,0.86,0.2608599730590308,fuzz_wratio,87396,axitinibe 5 mg com rev inlyta,IODOPOVIDONA SOLUCAO COM TENSOATIVOS 1 LITRO,revisar,IODOPOVIDONA SOLUCAO COM TENSOATIVOS 1 LITRO ,36.93,36.93,36.93,87396,312.6,A,axitinibe 5 mg com rev inlyta,87396,91904.40000000001,0.43,39519.0,-88.2,False
CAMPO OPER 45X50 18G HELENA,PRODUTOS PARA SAUDE,1,['AMED S/A'],87754,"cateter duplo lumen p/ hd 11,5x15cm reto",0.55,87754,"cateter duplo lumen p/ hd 11,5x15cm reto",0.55,84112,kit campo cirurgico descartavel lap 3 peças,0.86,88027,campo operatorio 10 x 9cm esteril (c/4 camadas) delicato,0.2310868544116075,87698,cateter epidural 16g,0.8502036929130554,0.6082581094649326,0.86,0.2602680421582618,fuzz_wratio,84112,kit campo cirurgico descartavel lap 3 peças,CAMPO OPER 45X50 18G HELENA,revisar,CAMPO OPER 45X50 18G HELENA,0.96,0.96,0.96,84112,73.5,A,kit campo cirurgico descartavel lap 3 peças,84112,83422.5,0.45,37540.0,-98.7,False
CAMPO OPER 45X50 15G HELENA,PRODUTOS PARA SAUDE,1,['AMED S/A'],87754,"cateter duplo lumen p/ hd 11,5x15cm reto",0.55,87754,"cateter duplo lumen p/ hd 11,5x15cm reto",0.55,84112,kit campo cirurgico descartavel lap 3 peças,0.86,88027,campo operatorio 10 x 9cm esteril (c/4 camadas) delicato,0.2295604545201219,87015,mupirocina 20 mg/g pom derm bg 15g,0.8465971946716309,0.6072315298383505,0.86,0.2599875757398044,fuzz_wratio,84112,kit campo cirurgico descartavel lap 3 peças,CAMPO OPER 45X50 15G HELENA,revisar,CAMPO OPER 45X50 15G HELENA,0.9,0.9,0.9,84112,73.5,A,kit campo cirurgico descartavel lap 3 peças,84112,83422.5,0.45,37540.0,-98.8,False
