linha_produto,principio_ativo,n_skus,marcas,decision,cod_item,desc_global,confidence,reasoning,n_candidates,candidate_cod_items,model,cached,error,run_pass,custo_medio,custo_min,custo_max,vl_medio_global,prev_mes_rs,abc_global
SCALP 23G LUER LOCK DISPOSITIVO SEG,PRODUTOS PARA SAUDE,4,"['DESCARPACK', 'INJEX', 'VENPER']",no_match,,,0.84,"Global compra: SCALP veia 23G com Luer Lock e dispositivo de segurança (dispositivo/insumo específico). Nenhum candidato Unimed traz 23G + Luer Lock + segurança. Ex.: 87539 é scalp 19G (calibre diferente) — apesar do preço R$0,25/un ≈ 0,89× da mediana Global R$0,28/un, falha clinicamente. Agulhas com dispositivo (88004 R$0,25; 107398 R$0,22; 87899 R$0,21) são agulhas hipodérmicas, não scalp. Demais itens são seringas/insumos não equivalentes. Match anterior 87541 (scalp 23G) foi rejeitado: R$1,58/un ÷ R$0,28/un = 5,64× (>4×), indicando produto/unidade/embalagem diferente — não repetir.",40,"[111595, 88139, 84268, 84119, 86900, 86966, 86805, 87093, 86526, 86661, 87167, 87027, 108537, 87101, 87165, 86882, 92732, 87844, 84850, 87172, 86638, 87273, 108158, 87028, 88004, 87539, 88190, 87547, 107398, 87899, 83911, 88140, 87835, 87546, 108813, 110611, 87800, 87545, 87745, 88084]",openai:gpt-5,False,,reanalyze_price,0.292076,0.2484,0.36365,,,
FORMOTEROL + BUDESONIDA (6MCG + 100MCG 60 DOSES),BUDESONIDA+FUMARATO DE FORMOTEROL DI-HIDRATADO,1,['ASTRAZENECA'],no_match,,,0.95,"Produto Global: budesonida + fumarato de formoterol 6/100 mcg, pó/aerossol inalatório, frasco 60 doses. Nenhum candidato Unimed apresenta mesma dupla de princípios e mesma dosagem/embalagem. Ex.: 87219 (formoterol+budesonida 6/200 mcg) difere na dose; VL/un=R$44,33 (razão 0,50× vs R$88,17). 101457 (beclometasona+formoterol 100/6 mcg 120 doses) tem corticoide diferente e embalagem 120 doses; VL/un=R$150,96 (1,71×). 87178 (salmeterol+fluticasona 25/125 mcg 120 doses) é outra combinação; VL/un=R$145,30 (1,65×). 86542 (budesonida 50 mcg/dose spray nasal) é via nasal, não inalador pulmonar; VL/un=R$33,66 (0,38×). MATCH ANTERIOR REJEITADO (92938) segue incorreto: tripla terapia 100/6/12,5 mcg 120 doses e preço R$371,30 (4,21×), comprovando produto diferente.",40,"[87795, 87193, 84113, 86997, 117530, 84288, 93621, 86458, 87421, 111955, 87954, 83797, 103255, 92788, 92718, 92909, 87634, 84223, 86401, 87202, 114986, 93386, 93387, 101540, 100869, 105569, 86818, 100812, 92739, 86504, 87178, 101457, 87970, 87219, 87000, 100269, 86679, 86542, 87073, 86795]",openai:gpt-5,False,,reanalyze_price,88.1739,88.1739,88.1739,,,
DETERGENTE ENZIMATICO 4 ENZIMAS 5L,DETERGENTE ENZIMATICO,2,['RIOQUIMICA'],no_match,,,0.92,"Global: detergente enzimático 4 enzimas 5L (Rioquímica), custo R$142,50/un. Nenhum candidato descreve detergente ENZIMÁTICO 4 ENZIMAS 5L. Avaliação clínica + preço/un: (i) 108046 “detergente enzimático prolystica 2x concentrado” R$310 (ratio 2,18×) → não 4 enzimas e volume típico ≠5L; (ii) 112443 “detergente neutro prolystica 3,78L” R$292,10 (2,05×) → não enzimático; (iii) 84100 glutaraldeído 2% R$146,16 (1,03×) → desinfetante, não detergente enzimático; (iv) 111416 “branco 336g” R$142,15 (1,00×) → produto diferente, sem 4 enzimas/5L; (v) 84238 detergente p/ louça 500ml R$1,43 (0,01×) → produto/unidade errada. Match anterior rejeitado 84245 (prolystica ultraconcentrado 5L) R$980 (6,88×) e formulação diferente — não repetir.",40,"[111416, 101367, 83799, 87030, 103693, 103690, 103696, 103694, 87797, 87356, 87178, 84100, 108925, 103692, 101122, 88035, 115427, 92802, 102879, 110315, 101457, 86958, 86440, 92806, 83683, 112443, 108046, 113688, 116611, 86323, 103869, 87402, 87334, 92892, 87624, 111328, 87913, 92889, 84238, 108038]",openai:gpt-5,False,,reanalyze_price,142.5,105.0,180.0,,,
BANHO LEITO-TOALHA UMED ANTISSEPTICA TNT,PRODUTOS PARA SAUDE,1,['MELHORMED'],no_match,,,0.98,"Global é uma toalha umedecida antisséptica em TNT para banho no leito (produto para higiene). Nenhum candidato Unimed é toalha/lenço umedecido; são seringas (ex.: 87835 R$0,38/un; 88140 R$0,37/un), comprimidos, sacos de lixo (83884/83902), sondas, pulseira de identificação etc. Clinicamente, não são equivalentes. Embora alguns preços/un estejam próximos de R$0,38, a incompatibilidade clínica impede o match. Match anterior (83926 “toalhas umedecidas hig cutaneo banho completo”) foi rejeitado por preço: R$3,49 ÷ R$0,38 ≈ 9,2 (>4×), sugerindo embalagem/kit diferente; portanto, não deve ser repetido.",40,"[87835, 87068, 86775, 88140, 86924, 86898, 86563, 86937, 83884, 86980, 86925, 83902, 86413, 86935, 87538, 86660, 83881, 87222, 87067, 83677, 86616, 87123, 86849, 87982, 86524, 87553, 87554, 84904, 87555, 92745, 87551, 92867, 87556, 87552, 86669, 84916, 87558, 83802, 87557, 87755]",openai:gpt-5,False,,reanalyze_price,0.378165,0.378165,0.378165,,,
GANCICLOVIR SODICO (500MG PO LIOFILIZADO PARA SOLUCAO PARA INFUSAO),GANCICLOVIR SODICO,2,"['EUROFARMA', 'UNIAO QUIMICA']",no_match,,,0.9,"Global: ganciclovir sódico 500 mg pó liofilizado p/ solução para infusão (frasco‑ampola). Nenhum candidato Unimed é ganciclovir 500 mg pó liof. Os mais “parecidos” (ex.: cod 86629 claritromicina 500 mg pó liof inj; cod 86500 azitromicina 500 mg pó liof inj) têm princípio ativo diferente — não equivalem clinicamente. Preço: embora vários itens tenham VL/un ~R$31 (próximo ao custo Global R$31,50), regra clínica impede o match. Match anterior rejeitado (cod 86596): apresentação diferente (solução IV em bolsa 500 mL) e preço incompatível — VL R$246,50 vs Global R$31,50; razão ≈7,83× (>4×).",40,"[84099, 86511, 87359, 84219, 114190, 87989, 87073, 87983, 84933, 87842, 87358, 108036, 93617, 86629, 115606, 101297, 87851, 86687, 87360, 100823, 87985, 116641, 87822, 84963, 86795, 86500, 87102, 86480, 87225, 87201, 87936, 86975, 86444, 86850, 83847, 86838, 112393, 87217, 111216, 86815]",openai:gpt-5,False,,reanalyze_price,31.5,28.0,35.0,,,
MALEATO DE SUNITINIBE ( 25MG CAP),MALATO DE SUNITINIBE,2,"['NATCOFARMA', 'SUN PHARMA']",no_match,,,0.96,"Global: malato de sunitinibe 25 mg cápsula, custo R$71,43/un. Nenhum candidato Unimed tem a mesma substância, dose e forma. O único sunitinibe listado é 12,5 mg (cod_item=86944), dose diferente; VL/un=R$184,86 → razão 184,86/71,43=2,59× (preço até compatível, porém clinicamente não equivalente). Diversos itens com ~R$70/un (ex.: 83682 insulina NPH 10 mL R$71,61; 88108 sonda Foley R$71,15) têm preço semelhante (≈1,0×), mas são outros insumos/dispositivos. Match anterior rejeitado (cod_item=86945, 25 mg cápsula) tinha VL Médio R$369,73 → razão 369,73/71,43=5,17× (>4×), indicando produto/unidade divergente. Portanto, sem equivalente válido entre os candidatos.",40,"[83682, 88108, 111303, 100812, 87354, 87956, 84168, 86818, 100391, 88106, 115315, 87741, 92783, 84947, 84112, 84948, 88086, 103200, 92805, 83795, 113040, 87998, 110625, 87220, 110202, 87256, 88210, 87799, 103669, 86441, 87030, 102879, 86958, 86944, 84775, 86771, 112284, 86826, 116624, 110488]",openai:gpt-5,False,,reanalyze_price,71.4285715,39.285714,103.571429,,,
SACO DE AUTOCLAVE,PRODUTOS PARA SAUDE,2,['CRAL'],no_match,,,0.92,"Produto Global é SACO DE AUTOCLAVE (bolsa própria para esterilização/alto calor), diferente de saco de lixo comum e de todos os medicamentos e itens diversos listados. Candidatos com ""saco de lixo"" (cod_item=83882 a R$0,70; 83881 a R$0,41; 83884 a R$0,39) até têm preço/un dentro de ~0,3–3× do custo Global (0,99), mas falham clinicamente por não serem sacos AUTOCLAVE (material/especificação térmica distinta). Demais itens (cateter, sonda, fármacos, etc.) são insumos diferentes. Match anterior rejeitado (cod_item=83883, saco de lixo 60L): além de não ser autoclave, preço 0,22 → razão 0,22/0,99≈0,22 (<0,25), confirmando produto/unidade errados. Sem candidato clinicamente equivalente com preço compatível.",40,"[87065, 86689, 100378, 86766, 86523, 86708, 87051, 87287, 87494, 87149, 86558, 86756, 83767, 87239, 87604, 86648, 86964, 83789, 86758, 87209, 86773, 83676, 87606, 87066, 87267, 87981, 83639, 83882, 84190, 100377, 87742, 87284, 87215, 110640, 106529, 83876, 83881, 83884, 92840, 87538]",openai:gpt-5,False,,reanalyze_price,0.9884465,0.657,1.319893,,,
FIXADOR ESTERIL,PRODUTOS PARA SAUDE,1,['3M'],no_match,,,0.83,"Global compra um fixador estéril específico para cateter IV (3M), não um curativo de feridas nem filme incisional. Entre os candidatos, os que têm preço semelhante são curativos para feridas: 102394 (Aquacel Ag 15×15) VL/un=R$115,61 (~1,0×) e 87949 (Biatain Ag 15×15) VL/un=R$110,85 (~0,96×), porém clinicamente diferentes (hidrofibra/poliuretano com prata, não fixador de cateter IV). 114889 é filme transparente incisional 51×55 cm (VL/un=R$55,04; ~0,48×) e 102367 é fita microporosa (VL/un=R$6,52; ~0,06×) — também não equivalentes. MATCH anterior rejeitado (88165) seguia errado: curativo transparente pediátrico 5×5,7 cm com VL/un=R$9,25 (≈0,08×), incompatível com o custo Global R$115,32/un e com a especificação. Assim, nenhum candidato atende simultaneamente especificação clínica e faixa de preço/un compatível para um fixador de cateter IV dedicado.",40,"[102394, 86554, 86804, 87904, 87957, 105036, 106816, 87388, 100292, 87260, 88143, 103669, 92857, 92807, 84928, 87848, 87949, 111541, 83798, 101428, 114778, 110321, 88123, 92739, 87490, 84113, 114726, 114889, 87867, 87451, 116641, 87786, 87500, 87531, 83931, 114727, 87705, 87529, 84153, 102367]",openai:gpt-5,False,,reanalyze_price,115.32,115.32,115.32,,,
AGULHA P/RAQUI TIPO QUINCKE 27GX3 1/2,PRODUTOS PARA SAUDE,1,['PROCARE'],no_match,,,0.9,"Global: agulha p/ raqui tipo Quincke 27G x 3,5"" (R$3,20/un). Nenhum candidato tem mesmas especificações (27G Quincke 3,5""). Ex.: 87447 é 22G x 3,5"" (calibre diferente) — R$10,87/un (≈3,40×); 87930 é 25G x 120 mm — R$44,80/un (≈14,0×); 87956 é 22G x 178 mm — R$72,24/un (≈22,6×). Match anterior 87449 (27G x 3,5"") foi rejeitado por preço: R$14,23/un vs R$3,20/un (≈4,45× > 4×). Sem candidato clinicamente idêntico e com preço compatível.",40,"[87147, 108160, 87888, 87506, 87389, 111278, 87889, 87886, 87563, 87890, 87891, 87576, 87055, 87567, 86442, 102366, 86329, 87885, 101634, 87499, 87525, 84262, 83645, 86411, 87145, 99655, 100385, 87953, 87215, 100845, 114573, 104335, 87627, 87494, 111221, 87447, 103581, 87766, 87956, 87930]",openai:gpt-5,False,,reanalyze_price,3.203105,3.203105,3.203105,,,
"ATADURA CREPOM 15 X 1,8M 13F",PRODUTOS PARA SAUDE,2,"['AMED S/A', 'POLARFIX']",no_match,,,0.19,"Global: atadura crepom 15 cm x 1,8 m, 13F, não estéril (rolo); custo R$0,31/un. Nenhum candidato atende ao mesmo tamanho e especificação com preço compatível. O único 15x180 é o cod 88197 (estéril), o que difere clinicamente, e tem VL/un R$3,39 (razão 10,9× vs R$0,31) — fora da faixa. Os demais crepom têm larguras diferentes (8/10/12/20/30 cm: ex. 88076 R$1,19 → 3,84×; 87456 R$1,23 → 4,0×; 87777 R$1,58 → 5,1×) e/ou são de outro material (atadura ortopédica algodão), portanto clinicamente não equivalentes. Match anterior (cod 87457, 15x180 não estéril) foi rejeitado pois VL/un R$1,89 → 6,1× o Global, indicando produto/unidade/embalagem divergente.",40,"[83903, 84118, 87920, 86922, 86918, 88190, 87257, 86899, 86976, 92732, 87844, 84850, 87172, 86638, 87273, 108158, 87028, 87547, 83664, 83650, 87166, 108537, 87093, 86526, 86661, 86937, 87299, 86494, 83639, 88209, 88076, 87455, 84261, 87524, 87456, 88197, 88198, 87459, 88196, 87777]",openai:gpt-5,False,,reanalyze_price,0.3075,0.0,0.615,,,
DETERGENTE ENZIMATICO PRATICZYME 1 LI,DETERGENTE ENZIMATICO,1,['VIC PHARMA'],no_match,,,0.95,"Global: detergente enzimático PRATICZYME frasco 1 L (limpeza de materiais). Nenhum candidato é detergente enzimático 1 L: ex. 86954 meropenem 1 g FA (medicamento injetável), 92937 mometasona spray nasal 60 doses, 107738/87375/87671 fios de sutura, 111216 solução limpa lentes óticas 3 ml (antiembaçante, não detergente enzimático). Formas/uso/volume não batem. Preço por un até parece próximo (p.ex. 86954 R$17,84 → razão 17,84/17,87≈1,00; 92937 R$17,55 → 0,98; 111216 R$15,07 → 0,84), mas o produto é clinicamente diferente. Match anterior rejeitado 108046 (Prolystica 2x concentrado) R$310 → 310/17,87≈17,3× (concentrado/embalagem diferente) — produto errado.",40,"[86954, 83840, 86838, 116736, 114686, 107738, 87751, 83648, 87375, 92937, 111042, 84330, 88216, 86476, 87671, 88049, 87433, 103498, 92856, 86850, 92962, 83679, 84937, 114193, 92841, 84731, 87025, 108024, 111216, 87286, 108025, 87508, 87714, 107191, 111329, 100263, 87063, 87511, 111319, 111328]",openai:gpt-5,False,,reanalyze_price,17.87,17.87,17.87,,,
AGULHA P/RAQUI TIPO QUINCKE 25GX3 1/2,PRODUTOS PARA SAUDE,1,['PROCARE'],no_match,,,0.88,"Global: agulha p/ raqui Quincke 25G x 3½ (0,53×88 mm), unidade, custo 2,95/un. Match anterior (cod 87448) tinha a especificação correta, porém VL Médio 13,19/un → razão 13,19/2,95=4,47 (>4); não há normalização de embalagem (já era UN), logo preço incompatível. Nos candidatos atuais, nenhum tem mesma especificação: 87447 é 22G; 87930 é 25G porém 4¾ (120 mm, longa p/ obeso); 87956 é 22G 178 mm; demais não são agulhas de raqui. Sem candidato que passe clínica + preço.",40,"[86942, 86978, 87498, 83688, 92960, 86859, 104479, 83914, 87887, 87330, 87566, 115379, 87565, 87099, 86469, 87564, 86466, 87638, 87075, 86789, 87459, 87145, 84908, 87022, 101634, 87788, 87953, 100845, 114573, 104335, 86727, 87494, 87627, 111221, 87447, 87677, 103581, 87766, 87930, 87956]",openai:gpt-5,False,,reanalyze_price,2.947743,2.947743,2.947743,,,
"MALEATO DE SUNITINIBE (12,5MG CAP)",MALATO DE SUNITINIBE,1,['NATCOFARMA'],no_match,,,0.96,"Match anterior (cod 86944) rejeitado por unidade/embalagem: item descreve caixa x28; sem normalizar, VL Médio R$184,86 vs Global R$14,29/un (≈12,9×) fica incompatível. Nenhum candidato atual é sunitinibe malato 12,5 mg cápsula. O único sunitinibe listado é 25 mg (cod 86945), dose diferente; além disso, VL/un R$369,73 vs Global R$14,29/un (≈25,9× >5×) — descartar. Demais itens são outras substâncias ou dispositivos, sem equivalência clínica.",40,"[92896, 87449, 84156, 86815, 84214, 104875, 88103, 85019, 86764, 88059, 88002, 87581, 116876, 84670, 86774, 86753, 88195, 92963, 104891, 87016, 87405, 87916, 100811, 87697, 83793, 87286, 84107, 87208, 87311, 84775, 102325, 87203, 107024, 86593, 87799, 92940, 87709, 86323, 86575, 86945]",openai:gpt-5,False,,reanalyze_price,14.285714,14.285714,14.285714,,,
INSULINA HUMANA REGULAR (100UI/ML SOLUÃÃO INJETÃVEL SUBCUTÃNEA 10ML),INSULINA HUMANA,1,['BIOMM'],no_match,,,0.9,"Global: insulina humana regular 100 UI/ml, solução injetável SC, frasco-ampola 10 ml; custo R$16,50/un. Nenhum candidato Unimed apresenta mesma substância/força/forma/volume. Os únicos relacionados a insulina (cod 86879 e 104871) são INSULINA LISPRO 100 UI/ml em refil/caneta 3 ml (molécula e apresentação diferentes) — descartar clinicamente, apesar de preços por un R$51,79 (razão 3,14×) e R$59,71 (razão 3,62×) vs R$16,50. Demais itens são fármacos/dispositivos não equivalentes. Match anterior rejeitado (cod 83683) tinha VL/un R$131,86 vs R$16,50 (razão 7,99× > 5×), indicando embalagem/unidade diferente — não repetir.",40,"[86317, 88018, 87194, 87321, 87478, 86704, 114189, 114188, 114192, 88096, 86837, 87128, 86786, 87158, 86982, 86658, 101386, 87805, 88170, 86472, 102151, 87991, 88024, 114191, 103498, 86965, 84670, 87200, 102325, 87297, 87169, 87309, 86930, 87201, 83696, 87210, 86963, 86879, 100385, 104871]",openai:gpt-5,False,,reanalyze_price,16.500647,16.500647,16.500647,,,
ESCOVA SECA,PRODUTOS PARA SAUDE,3,"['CRISTALIA', 'RIOQUIMICA', 'VIC PHARMA']",no_match,,,0.78,"Produto-alvo: escova cirúrgica seca (sem antisséptico). Nenhum candidato corresponde a “escova seca”. O mais próximo (cod_item=84269) é escova cirúrgica com clorexidina 2% (impregnada), não equivalente clinicamente à versão seca; apesar do preço 1,73 R$/un vs Global 1,20 R$/un (razão ≈1,44×, dentro da faixa). Os demais itens são medicamentos ou materiais distintos. Match anterior (cod_item=116341) era kit de escova de limpeza ponta dupla 40mm, com preço 43,36 R$/un (razão ≈36,1×), além de ser produto/uso diferente — por isso incorreto.",40,"[110302, 87455, 112864, 84261, 86555, 86419, 88076, 86999, 87548, 86657, 86486, 87301, 83887, 87456, 86871, 87399, 86683, 87454, 86724, 86725, 84845, 86428, 87725, 87285, 86439, 87180, 86887, 87003, 87617, 92738, 86766, 87615, 87613, 87736, 84269, 87230, 106529, 84190, 88084, 84277]",openai:gpt-5,False,,reanalyze_price,1.365486,1.0,1.896458,,,
COLECALCIFEROL (50000UI CAPSULA GELATINOSA MOLE),COLECALCIFEROL,2,"['FQM', 'NEO QUIMICA']",no_match,,,0.22,"Global: colecalciferol 50.000 UI cápsula gel mole (oral) a R$2,65/un. Candidato rejeitado anterior 86665 é “com rev” (comprimido revestido) e VL/un=R$38,66 → razão 14,6× (>4×) e forma diferente. Candidato 86666 é colecalciferol 7.000 UI com rev (dose 7x menor e forma diferente), VL/un=R$2,00 → razão 0,76× (preço ok) porém clinicamente incompatível. Candidato 86857 é progesterona 200 mg cap gel mole (substância distinta), VL/un=R$2,66 → razão 1,0×, porém não é colecalciferol. Demais itens não são colecalciferol 50.000 UI cápsula gel mole. Sem equivalente clínico com preço compatível.",40,"[87458, 86857, 84801, 84124, 83640, 86630, 116345, 93616, 87189, 86619, 83774, 102531, 86637, 86796, 83836, 83835, 83837, 104760, 111150, 101607, 92840, 84228, 86559, 110605, 86972, 87099, 86568, 86570, 83657, 86666, 87144, 87314, 87709, 86601, 87090, 86556, 86594, 106817, 87313, 87315]",openai:gpt-5,False,,reanalyze_price,2.645478,0.2525,5.038456,,,
FERRIPOLIMALTOSE LIQUIDO (50MG/ML 30 ML GTS),FERRIPOLIMALTOSE,1,['FQM'],no_match,,,0.92,"Clínica: Global é ferripolimaltose 50 mg/ml, solução oral gotas, frasco 30 ml (Ultrafér). Nenhum candidato tem mesma substância e apresentação; o único com mesma descrição (cod_item=86798) foi rejeitado. Preço: custo Global=R$3,12/un. Para 86798, VL/un=R$41,71 → razão ≈13,4× (>4×), indicando unidade/embalagem diferente — descartar. Demais candidatos têm VL/un ~R$3,0 mas são outras substâncias/formas ou dispositivos, não equivalentes.",40,"[86329, 101634, 87055, 87567, 87145, 87890, 87459, 87075, 86789, 87389, 111278, 87564, 86466, 87147, 108160, 86469, 87888, 87506, 87889, 115379, 87565, 87886, 87563, 83914, 87891, 83688, 86536, 86796, 87314, 87198, 86463, 86797, 83672, 86745, 87313, 87315, 87312, 87323, 86897, 87034]",openai:gpt-5,False,,reanalyze_price,3.122181,3.122181,3.122181,,,
BOLSA COLOSTOMIA 50MM SACO PLASTICO200ML,PRODUTOS PARA SAUDE,1,['MEDSONDA'],no_match,,,0.9,"Global: bolsa de colostomia 50 mm, saco plástico 200 mL; custo R$0,48/un. Candidatos realmente de bolsa de colostomia (37–40) têm VL/un R$29,13–33,46 → razão 60–70× vs. R$0,48 (fora da faixa 0,25–4×). Match anterior (cod 111680) idem: R$51,25 → ~107×, mostrando produto/unidade diferente. Demais itens com preço próximo (p.ex. 88009 coletor de urina infantil R$0,47; 87844 coletor urina 2 L R$0,30; 108813 seringa R$0,49) não são bolsa de colostomia (falha clínica). Sem candidato que passe clínica + preço.",40,"[87730, 102397, 86926, 86983, 83659, 86783, 87050, 86408, 108813, 83668, 88009, 87656, 86730, 86970, 106547, 86406, 86643, 87142, 86921, 92898, 87553, 86853, 92918, 86467, 87052, 84220, 83882, 86345, 83903, 87844, 87677, 83639, 111596, 83802, 111591, 84210, 92785, 95553, 92786, 111334]",openai:gpt-5,False,,reanalyze_price,0.481,0.481,0.481,,,
ALFAEPOETINA (10000UI/ML INJ IV/SC FA 1ML),ALFAEPOETINA,4,"['BLAU', 'CHRON EPIGEN']",no_match,,,0.9,"Necessidade: ALFAEPOETINA 10.000 UI/mL, solução injetável IV/SC, frasco‑ampola 1 mL, custo Global ≈ R$52,50/un. Match anterior (cod 86443) é seringa 1 mL com VL/un R$269 → razão 269/52,50=5,13 (>4) e apresentação diferente (seringa vs FA) — inválido. Candidatos com alfaepoetina: 86444 (4.000 UI pó liof. FA) — dose/forma diferentes, apesar de preço R$19,98 (razão 0,38); 86445 (40.000 UI seringa 1 mL) — dose/apresentação diferentes e preço R$983,39 (razão 18,74). Demais itens não são alfaepoetina. Sem candidato clinicamente idêntico com preço compatível.",40,"[85002, 87118, 88132, 115572, 101394, 84936, 87331, 86879, 86605, 87442, 88210, 111527, 115904, 87962, 111680, 101498, 86323, 84142, 95571, 88172, 88105, 87116, 84990, 105079, 86873, 83682, 87201, 86458, 87169, 86554, 114778, 84964, 86440, 86444, 83679, 116736, 87016, 86445, 86732, 106331]",openai:gpt-5,False,,reanalyze_price,51.25,45.0,55.0,,,
INSULINA GLARGINA (100UI/ML SOLUCAO INJETAVEL SC CARPULE 3ML),INSULINA GLARGINA,1,['BIOMM'],no_match,,,0.95,"Global: insulina glargina 100 U/mL, solução injetável SC, carpule 3 mL. Nenhum candidato Unimed é a mesma substância/forma/volume (ex.: 87017 naloxona 0,4 mg/mL amp 1 mL; 86546 bupivacaína 5 mg/mL amp 4 mL; vários dispositivos). Preço: Global R$10,00/un; embora haja VL/un ~R$10,00 nos candidatos (p.ex. 87017 R$10,03; razão≈1,00), são clinicamente diferentes, então descartados. Match anterior 114778 (glargina refil 3 mL) tinha VL Médio R$121,32/un vs Global R$10,00 (razão≈12,1× >4×), indicando unidade/embalagem distinta — por isso estava errado.",40,"[87017, 115699, 84134, 107287, 86546, 84189, 83923, 86748, 84789, 88173, 111221, 86735, 84101, 86510, 86509, 88175, 87591, 92930, 87674, 87309, 111299, 87620, 86539, 86734, 86692, 83696, 86753, 87016, 86615, 86965, 86727, 87210, 100385, 86641, 86732, 83673, 87141, 86994, 86789, 86466]",openai:gpt-5,False,,reanalyze_price,10.0,10.0,10.0,,,
"SULFADIAZINA DE PRATA (1% + 0,4% 120G TOPICO)",SULFADIAZINA DE PRATA+NITRATO DE CERIO,1,['CRISTALIA'],no_match,,,0.95,"Global: sulfadiazina de prata + nitrato de cério 1% + 0,4%, creme tópico, bisnaga 50 g (ex.: Dermacerium). Custo Global R$17,09/un. Candidato previamente rejeitado 87202 (mesma fórmula 1%+0,4% 50 g) tem VL/un R$84,54 → razão 84,54/17,09=4,95 (>4×), indicando produto/unidade diferente — manter rejeição. 87203 é apenas sulfadiazina de prata 1% (sem nitrato de cério) creme 50 g — não equivalente clinicamente, apesar do preço R$27,12/un (27,12/17,09=1,59). Demais itens não correspondem à substância/forma/via. Sem candidato que atenda clínica + preço → no_match.",40,"[102151, 86472, 101386, 86658, 86786, 87128, 103498, 92856, 88049, 87671, 86476, 114189, 86704, 88216, 87321, 111042, 84330, 92937, 87375, 83648, 86317, 88018, 87194, 86954, 83840, 87374, 87417, 86444, 87208, 88195, 92943, 109811, 92721, 87203, 100908, 105568, 87015, 84899, 84857, 84873]",openai:gpt-5,False,,reanalyze_price,17.09,17.09,17.09,,,
TIRA REAGENTE DE GLICEMIA,PRODUTOS PARA SAUDE,3,['ON CALL PLUS'],no_match,,,0.7,"Produto Global é dispositivo tira reagente de glicemia (On Call Plus) — precisa ser a mesma tira. Nenhum candidato Unimed é tira reagente: há preservativo, comprimidos, seringas, clamp, etc. O mais próximo do contexto de glicemia é a lanceta descartável (cod 87745; VL/un R$0,12; razão 0,12/0,35≈0,34×), porém clinicamente é outro insumo (lanceta ≠ tira). O match anterior (cod 100851, tira Freestyle Optium) foi rejeitado por preço incompatível: VL/un R$2,34 vs Global R$0,35 → razão ≈6,7× (>4×), indicando unidade/embalagem diferente ou produto distinto. Sem candidato que atenda clínica + preço simultaneamente.",40,"[87538, 86660, 86980, 86925, 87982, 86524, 88140, 86924, 86898, 86563, 86937, 87238, 86345, 87835, 87068, 86775, 83884, 87547, 83664, 83650, 87166, 83902, 86413, 86935, 83903, 107628, 111591, 86592, 87526, 87745, 87531, 103251, 86959, 103509, 83832, 86511, 84114, 87790, 87250, 93006]",openai:gpt-5,False,,reanalyze_price,0.49866666666666665,0.33,0.812,,,
COLETOR RIGIDO PERF CORTANTE 7L AMARELO,PRODUTOS PARA SAUDE,1,['DESCARPACK'],no_match,,,0.72,"Global compra: coletor rígido para material perfurocortante 7L (amarelo). Match anterior (cod 84182) foi rejeitado: VL/un R$4,03 vs custo Global R$20,45 → razão 0,20 (<0,25), indicando unidade/embalagem diferente. Entre candidatos, o único próximo é cod 84219 “coletor rígido plástico p/ resíduos quimioterápicos 7L”: apesar do preço compatível (R$31,64; razão 1,55), é para resíduo quimioterápico, não perfurocortante (especificação/uso distintos). Cod 115150 é 13L (≠7L), ainda que preço por un R$7,16 (razão 0,35). Demais itens são medicamentos ou insumos não relacionados. Sem candidato que atenda mesma especificação (perfurocortante 7L amarelo) e preço normalizado.",40,"[86754, 87305, 108026, 87275, 84732, 83919, 86717, 86450, 87208, 88093, 84989, 88141, 86444, 87413, 87700, 103580, 87485, 108024, 87170, 84731, 87894, 87535, 86975, 88003, 117386, 88152, 84143, 100819, 84219, 83844, 84789, 95573, 87550, 87963, 88210, 84142, 84313, 84795, 87750, 115150]",openai:gpt-5,False,,reanalyze_price,20.454305,20.454305,20.454305,,,
COLETOR RIGIDO PERF CORTANTE 13L AMARELO,PRODUTOS PARA SAUDE,1,['DESCARPACK'],no_match,,,0.86,"Global: coletor rígido para perfurocortante 13L amarelo (resíduo infectante). Preço Global=R$24,83/un. Entre os candidatos, o único 13L é o cod 115150, porém é “p/ produtos químicos e tóxicos 13L” (grupo químico), não equivalente ao amarelo para perfurocortante; além disso, VL/un=R$7,16 (razão 0,29× vs 24,83) — preço baixo e especificação diferente. O cod 84219 é coletor p/ resíduos quimioterápicos 7L (≠13L, aplicação distinta); VL/un=R$31,64 (razão 1,27×), mas falha clinicamente/volume. Demais itens não são coletores de perfurocortante. Match anterior rejeitado (cod 84183) tinha VL/un=R$5,23 vs 24,83 (razão 0,21×<0,25×), indicando produto/unidade divergente — não repetir.",40,"[87322, 83785, 87936, 87711, 86755, 100255, 88098, 88016, 100820, 92721, 87712, 86418, 88043, 88215, 108025, 87987, 88080, 87561, 92817, 109811, 87252, 100819, 84958, 114730, 87988, 87894, 84732, 100823, 84219, 88152, 95573, 84891, 88210, 84142, 116418, 88134, 84795, 92718, 115150, 87549]",openai:gpt-5,False,,reanalyze_price,24.834203,24.834203,24.834203,,,
